POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"1143826110","5800",ALFÂNDEGA,N,-9.13382,38.70876,Restaurante,"1106","19","002","09","11061900209","022406",Lisboa
"1143826112","5800",SOLAR DO VEZ,N,-9.1318,38.70878,Restaurante,"1106","52","003","08","11065200308","022406",Lisboa
"1148735681","5800",CHEF COMIDA PRONTA,N,-9.1586,38.71099,Restaurante,"1106","17","008","02","11061700802","022406",Lisboa
"996719635","5800",MARIA LISBOA,N,-9.14502,38.7202,Restaurante,"1106","45","003","02","11064500302","022406",Lisboa
"996719633","5800",CAFÉ 3,N,-9.14502,38.7202,Restaurante,"1106","45","003","02","11064500302","022406",Lisboa
"996719630","5800",LAGOSTA VERMELHA,N,-9.13776,38.71191,Restaurante,"1106","48","001","05","11064800105","022406",Lisboa
"996719631","5800",A COVELENSE,N,-9.13778,38.71197,Restaurante,"1106","48","001","05","11064800105","022406",Lisboa
"67180121","5800",MCDONALD'S (MCDRIVE),N,-9.21377,38.71112,Restaurante,"1106","40","006","01","11064000601","022406",Lisboa
"1143826242","5800",ALFAMA GRILL,N,-9.1283,38.71182,Restaurante,"1106","36","005","04","11063600504","022406",Lisboa
"1141483698","5800",LOUNGE CAFFÉ,N,-9.15078,38.72023,Restaurante,"1106","46","006","04","11064600604","022406",Lisboa
"1143826241","5800",A REGUEIRINHA,N,-9.12838,38.71185,Restaurante,"1106","36","005","04","11063600504","022406",Lisboa
"1143826240","5800",O REGUEIR?O,N,-9.12799,38.71175,Restaurante,"1106","36","005","06","11063600506","022406",Lisboa
"1143892539","5800",RAMOS & ANTUNES,N,-9.14155,38.73928,Restaurante,"1106","43","015","09","11064301509","022406",Lisboa
"1143892540","5800",OLIVEIRAS,N,-9.13692,38.73037,Restaurante,"1106","44","026","01","11064402601","022406",Lisboa
"1143892538","5800",MONTE CASTELO,N,-9.1347,38.73123,Restaurante,"1106","44","015","02","11064401502","022406",Lisboa
"1143892537","5800",ZÉ DO COZIDO,N,-9.13015,38.73845,Restaurante,"1106","03","019","02","11060301902","022406",Lisboa
"1143892536","5800",CERVEJARIA RAMIRO,N,-9.1333,38.75474,Restaurante,"1106","42","011","05","11064201105","022406",Lisboa
"1048149036","9996",CAFETARIA PINHEIRO,N,-9.2053,38.7521,Café,"1106","08","032","01","11060803201","022406",Lisboa
"1048149035","9996",DOCE DE BENFICA,N,-9.20482,38.7519,Café,"1106","08","021","02","11060802102","022406",Lisboa
"1048149034","5800",O GALANTE,N,-9.20565,38.75214,Restaurante,"1106","08","035","01","11060803501","022406",Lisboa
"1039112783","5800",SERGY MAR,N,-9.20128,38.75241,Restaurante,"1106","08","027","01","11060802701","022406",Lisboa
"1039112784","9996",MIMOSA DE BENFICA,N,-9.2014,38.75492,Café,"1106","08","005","01","11060800501","022406",Lisboa
"1148484454","9996",CUNHA CAFÉ,N,-9.1294,38.71237,Café,"1106","36","005","03","11063600503","022406",Lisboa
"1148484448","9996",MARIA KARON,N,-9.14345,38.71712,Café,"1106","45","008","03","11064500803","022406",Lisboa
